Cargo_id;Nome_cargo;Nivel;Descricao
1;Analista RH Junior 001;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
2;Assistente RH Pleno 002;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
3;Business Partner Senior 003;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
4;Coordenador RH Especialista 004;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
5;Especialista Dados Gestao 005;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
6;Analista People Junior 006;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
7;Recrutador Pleno 007;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
8;Analista Treinamento Senior 008;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
9;Analista Remuneracao Especialista 009;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
10;Gerente RH Gestao 010;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
11;Analista Departamento Pessoal Junior 011;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
12;Assistente Administrativo Pleno 012;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
13;Analista Diversidade Senior 013;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
14;Analista Beneficios Especialista 014;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
15;Supervisor Operacoes Gestao 015;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
16;Analista RH Junior 016;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
17;Assistente RH Pleno 017;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
18;Business Partner Senior 018;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
19;Coordenador RH Especialista 019;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
20;Especialista Dados Gestao 020;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
21;Analista People Junior 021;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
22;Recrutador Pleno 022;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
23;Analista Treinamento Senior 023;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
24;Analista Remuneracao Especialista 024;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
25;Gerente RH Gestao 025;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
26;Analista Departamento Pessoal Junior 026;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
27;Assistente Administrativo Pleno 027;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
28;Analista Diversidade Senior 028;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
29;Analista Beneficios Especialista 029;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
30;Supervisor Operacoes Gestao 030;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
31;Analista RH Junior 031;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
32;Assistente RH Pleno 032;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
33;Business Partner Senior 033;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
34;Coordenador RH Especialista 034;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
35;Especialista Dados Gestao 035;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
36;Analista People Junior 036;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
37;Recrutador Pleno 037;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
38;Analista Treinamento Senior 038;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
39;Analista Remuneracao Especialista 039;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
40;Gerente RH Gestao 040;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
41;Analista Departamento Pessoal Junior 041;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
42;Assistente Administrativo Pleno 042;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
43;Analista Diversidade Senior 043;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
44;Analista Beneficios Especialista 044;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
45;Supervisor Operacoes Gestao 045;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
46;Analista RH Junior 046;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
47;Assistente RH Pleno 047;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
48;Business Partner Senior 048;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
49;Coordenador RH Especialista 049;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
50;Especialista Dados Gestao 050;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
51;Analista People Junior 051;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
52;Recrutador Pleno 052;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
53;Analista Treinamento Senior 053;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
54;Analista Remuneracao Especialista 054;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
55;Gerente RH Gestao 055;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
56;Analista Departamento Pessoal Junior 056;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
57;Assistente Administrativo Pleno 057;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
58;Analista Diversidade Senior 058;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
59;Analista Beneficios Especialista 059;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
60;Supervisor Operacoes Gestao 060;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
61;Analista RH Junior 061;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
62;Assistente RH Pleno 062;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
63;Business Partner Senior 063;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
64;Coordenador RH Especialista 064;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
65;Especialista Dados Gestao 065;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
66;Analista People Junior 066;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
67;Recrutador Pleno 067;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
68;Analista Treinamento Senior 068;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
69;Analista Remuneracao Especialista 069;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
70;Gerente RH Gestao 070;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
71;Analista Departamento Pessoal Junior 071;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
72;Assistente Administrativo Pleno 072;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
73;Analista Diversidade Senior 073;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
74;Analista Beneficios Especialista 074;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
75;Supervisor Operacoes Gestao 075;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
76;Analista RH Junior 076;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
77;Assistente RH Pleno 077;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
78;Business Partner Senior 078;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
79;Coordenador RH Especialista 079;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
80;Especialista Dados Gestao 080;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
81;Analista People Junior 081;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
82;Recrutador Pleno 082;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
83;Analista Treinamento Senior 083;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
84;Analista Remuneracao Especialista 084;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
85;Gerente RH Gestao 085;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
86;Analista Departamento Pessoal Junior 086;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
87;Assistente Administrativo Pleno 087;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
88;Analista Diversidade Senior 088;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
89;Analista Beneficios Especialista 089;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
90;Supervisor Operacoes Gestao 090;Gestao;Cargo sintetico de Supervisor Operacoes no nivel Gestao para simulacao do dominio RH.
91;Analista RH Junior 091;Junior;Cargo sintetico de Analista RH no nivel Junior para simulacao do dominio RH.
92;Assistente RH Pleno 092;Pleno;Cargo sintetico de Assistente RH no nivel Pleno para simulacao do dominio RH.
93;Business Partner Senior 093;Senior;Cargo sintetico de Business Partner no nivel Senior para simulacao do dominio RH.
94;Coordenador RH Especialista 094;Especialista;Cargo sintetico de Coordenador RH no nivel Especialista para simulacao do dominio RH.
95;Especialista Dados Gestao 095;Gestao;Cargo sintetico de Especialista Dados no nivel Gestao para simulacao do dominio RH.
96;Analista People Junior 096;Junior;Cargo sintetico de Analista People no nivel Junior para simulacao do dominio RH.
97;Recrutador Pleno 097;Pleno;Cargo sintetico de Recrutador no nivel Pleno para simulacao do dominio RH.
98;Analista Treinamento Senior 098;Senior;Cargo sintetico de Analista Treinamento no nivel Senior para simulacao do dominio RH.
99;Analista Remuneracao Especialista 099;Especialista;Cargo sintetico de Analista Remuneracao no nivel Especialista para simulacao do dominio RH.
100;Gerente RH Gestao 100;Gestao;Cargo sintetico de Gerente RH no nivel Gestao para simulacao do dominio RH.
101;Analista Departamento Pessoal Junior 101;Junior;Cargo sintetico de Analista Departamento Pessoal no nivel Junior para simulacao do dominio RH.
102;Assistente Administrativo Pleno 102;Pleno;Cargo sintetico de Assistente Administrativo no nivel Pleno para simulacao do dominio RH.
103;Analista Diversidade Senior 103;Senior;Cargo sintetico de Analista Diversidade no nivel Senior para simulacao do dominio RH.
104;Analista Beneficios Especialista 104;Especialista;Cargo sintetico de Analista Beneficios no nivel Especialista para simulacao do dominio RH.
